Time  Yaw  Pitch  Roll
4,52 171,9345 2,756334 3,973236
4,54 172,1357 2,52357 4,064454
4,56 172,3379 2,349192 4,171269
4,58 172,5188 2,298885 4,234608
4,6 172,9333 2,218054 4,329931
4,62 173,3694 2,119412 4,394564
4,64 173,8192 2,063405 4,626228
4,66 174,2079 2,000031 4,894504
4,68 174,4041 1,969946 5,025981
4,7 174,6431 1,937265 5,246198
4,72 174,8132 1,865629 5,465969
4,74 174,7612 1,884394 5,621712
4,76 174,6106 2,130533 5,910001
4,78 174,4772 2,315795 6,020444
4,8 174,1761 2,885615 6,129758
4,82 173,9103 3,691237 6,310011
4,84 173,6065 4,563976 6,626197
4,86 173,3435 5,384534 7,029181
4,88 173,207 5,768174 7,252311
4,9 173,0396 6,547644 7,632177
4,92 172,9356 7,241221 7,94111
4,94 172,8856 7,624402 8,237647
4,96 172,9234 7,765105 8,521348
4,98 172,8985 7,744444 8,70927
5 172,8923 7,611617 9,166439
5,02 172,9839 7,756393 9,575398
5,04 173,3061 8,031096 9,756959
5,06 173,6084 7,80339 9,80677
5,08 173,9419 7,778694 9,694956
5,1 174,2468 7,281164 9,564805
5,12 174,715 6,829597 9,438964
5,14 175,1608 6,685427 9,714276
5,16 175,5604 6,627613 10,16508
5,18 175,6831 6,668179 10,32482
5,2 176,0685 6,844512 10,48686
5,22 176,4702 6,935045 10,65315
5,24 176,9035 7,255741 10,78247
5,26 177,1196 7,903576 11,28034
5,28 177,2146 8,285967 11,63758
5,3 176,9939 8,88748 12,0972
5,32 176,6348 9,030334 12,08829
5,34 176,6186 9,175364 12,08295
5,36 176,7424 8,962292 12,32263
5,38 176,9117 9,016376 12,55794
5,4 177,2587 9,19372 13,08451
5,42 177,4516 9,482534 13,69672
5,44 177,4474 9,486644 14,09962
5,46 177,4116 9,362494 14,13744
5,48 177,3612 9,28212 14,20209
5,5 177,1325 8,971199 14,39052
5,52 176,8635 8,679143 14,40007
5,54 176,6237 8,633523 14,46385
5,56 176,3935 8,576267 14,50743
5,58 176,2653 8,486418 14,56271
5,6 176,2099 8,432317 14,62344
5,62 176,0642 8,411113 14,87161
5,64 175,9237 8,412355 15,00004
5,66 175,7324 8,294386 14,97552
5,68 175,5367 8,177966 14,74753
5,7 174,7542 7,636701 14,47037
